CountyFIPS,Year,WaterBodyProximity
48089,2020,1
48287,2020,1
48041,2020,1
48041,2020,1
48041,2020,11
48041,2020,1
48041,2020,2
48041,2020,1
48303,2020,1
40007,2020,1
20195,2020,3
20195,2020,2
20195,2020,1
20195,2020,8
40031,2020,1
40047,2020,1
48139,2020,1
48367,2020,1
48367,2020,1
48439,2020,2
48439,2020,1
48439,2020,2
48439,2020,1
48439,2020,1
48439,2020,1
48439,2020,1
48439,2020,1
48439,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48439,2020,3
48439,2020,2
48439,2020,1
48121,2020,1
48439,2020,29
48439,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,2
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,2
48121,2020,2
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,15
48121,2020,1
48121,2020,1
48121,2020,1
48439,2020,1
48121,2020,1
48121,2020,2
48121,2020,1
48121,2020,1
48121,2020,1
48439,2020,7
48439,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,1
48439,2020,1
48439,2020,1
48439,2020,3
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,2
48121,2020,1
48439,2020,1
48121,2020,1
48113,2020,8
48113,2020,1
48113,2020,1
48113,2020,1
48113,2020,1
48113,2020,1
48121,2020,1
48121,2020,2
48121,2020,1
48113,2020,1
48121,2020,1
48121,2020,2
48121,2020,21
48113,2020,11
48121,2020,1
48121,2020,1
48121,2020,2
48121,2020,3
48113,2020,13
48113,2020,3
48121,2020,1
48121,2020,1
48121,2020,1
48121,2020,2
48121,2020,1
48121,2020,25
48121,2020,19
48121,2020,2
48121,2020,1
40095,2020,1
40051,2020,2
40027,2020,1
40027,2020,1
40027,2020,1
40017,2020,3
40109,2020,1
40109,2020,1
40109,2020,2
40109,2020,3
40109,2020,7
40109,2020,1
40109,2020,1
40027,2020,4
40027,2020,11
40027,2020,5
40027,2020,9
40027,2020,1
40027,2020,1
40109,2020,8
40109,2020,1
40027,2020,1
40027,2020,7
40027,2020,1
40027,2020,1
40109,2020,3
40109,2020,1
40109,2020,5
40109,2020,1
40109,2020,1
40027,2020,4
40109,2020,4
40109,2020,24
40109,2020,6
20173,2020,1
20061,2020,1
48121,2020,1
48121,2020,1
48121,2020,13
48121,2020,2
48113,2020,2
48113,2020,1
48113,2020,3
48113,2020,1
48113,2020,1
48113,2020,1
48113,2020,1
48113,2020,1
48085,2020,2
48085,2020,1
48085,2020,1
48085,2020,1
48085,2020,1
48113,2020,1
48113,2020,12
48113,2020,8
48113,2020,4
48085,2020,1
48085,2020,9
48085,2020,2
48085,2020,1
48085,2020,1
48085,2020,1
48113,2020,1
48085,2020,1
48085,2020,1
48085,2020,1
48085,2020,5
48085,2020,1
48085,2020,23
48085,2020,1
48085,2020,13
48085,2020,1
48085,2020,1
48085,2020,1
48085,2020,4
48085,2020,1
48085,2020,1
48085,2020,4
48085,2020,31
48085,2020,1
48085,2020,1
48085,2020,1
48085,2020,1
48085,2020,1
48085,2020,1
48085,2020,1
48085,2020,1
48085,2020,1
48085,2020,1
48085,2020,18
48085,2020,1
48085,2020,1
48113,2020,1
48113,2020,1
48113,2020,1
48113,2020,1
48113,2020,1
48113,2020,1
48085,2020,3
48113,2020,1
48113,2020,1
48113,2020,1
48085,2020,1
40123,2020,1
46071,2020,1
46071,2020,1
46071,2020,1
46041,2020,1
46049,2020,1
46023,2020,1
38093,2020,1
46135,2020,1
19149,2020,1
46079,2020,1
46079,2020,1
46079,2020,1
46079,2020,1
46079,2020,2
46079,2020,1
46099,2020,1
46099,2020,1
46099,2020,1
46099,2020,1
46099,2020,1
46077,2020,1
46039,2020,1
38081,2020,1
48157,2020,2
48157,2020,1
48157,2020,1
48157,2020,1
48157,2020,2
48157,2020,1
48157,2020,1
48157,2020,1
48157,2020,1
48157,2020,4
48157,2020,1
48157,2020,1
48157,2020,1
48201,2020,1
48157,2020,1
48201,2020,1
48157,2020,1
48201,2020,3
48039,2020,8
48201,2020,8
48201,2020,1
48039,2020,2
48039,2020,1
48039,2020,1
48157,2020,5
48157,2020,1
48039,2020,1
48039,2020,1
48157,2020,2
48157,2020,9
48157,2020,1
48157,2020,1
48157,2020,1
48157,2020,1
48039,2020,1
48039,2020,1
48039,2020,1
48201,2020,1
48201,2020,1
48157,2020,1
48157,2020,1
48201,2020,2
48201,2020,1
48157,2020,1
48157,2020,2
48157,2020,1
48157,2020,1
48157,2020,1
48157,2020,1
