CountyFIPS,Year,TotalAnnualPrecipitation
AL-095,2018,739.6
AL-095,2019,752.3000000000001
AL-095,2020,742.5000000000001
AL-097,2004,803.6999999999999
AL-097,2005,804.2
AL-097,2006,813.0000000000001
AL-097,2007,811
AL-097,2008,798.8
AL-097,2009,804.6000000000001
AL-097,2010,789.9
AL-097,2011,809.4
AL-097,2012,822.9
AL-097,2013,797.4000000000001
AL-097,2014,783.2
AL-097,2015,819.1999999999998
AL-097,2016,822.1999999999999
AL-097,2017,824.0999999999999
AL-097,2018,818.3999999999999
AL-097,2019,825.8000000000001
AL-097,2020,824.9
AL-099,2004,781.6999999999999
AL-099,2005,784.0999999999999
AL-099,2006,794.4
AL-099,2007,790.6999999999999
AL-099,2008,777.5
AL-099,2009,780
AL-099,2010,773.3999999999999
AL-099,2011,789.1
AL-099,2012,799.5
AL-099,2013,778.0999999999999
AL-099,2014,771.1999999999999
AL-099,2015,800.4
AL-099,2016,805.9999999999999
AL-099,2017,805.1
AL-099,2018,802.3
AL-099,2019,815.4
AL-099,2020,815.0000000000001
AL-101,2004,777.8999999999999
AL-101,2005,774.6999999999999
AL-101,2006,785.0000000000001
AL-101,2007,785.8
AL-101,2008,771.3000000000001
AL-101,2009,771.3000000000002
AL-101,2010,766.3
AL-101,2011,782
AL-101,2012,791.8
AL-101,2013,771.1
AL-101,2014,762.3999999999999
AL-101,2015,801.2
AL-101,2016,809.9
AL-101,2017,803.8999999999999
AL-101,2018,790.7000000000002
AL-101,2019,806.4000000000001
AL-101,2020,806.8000000000001
AL-103,2004,727.9000000000001
AL-103,2005,730.8000000000001
AL-103,2006,739.1999999999999
AL-103,2007,749.0000000000001
AL-103,2008,722.9999999999999
AL-103,2009,720.8000000000001
AL-103,2010,722.0999999999999
AL-103,2011,731.9
AL-103,2012,750.8
AL-103,2013,713.5999999999999
AL-103,2014,705.4
AL-103,2015,739.1
AL-103,2016,754.9000000000001
AL-103,2017,747.6999999999998
AL-103,2018,740.3000000000001
AL-103,2019,751.2
AL-103,2020,741.4999999999999
AL-105,2004,766.1000000000001
AL-105,2005,765.4999999999999
AL-105,2006,777.8000000000001
AL-105,2007,778.9
AL-105,2008,761.9000000000001
AL-105,2009,761.0999999999999
AL-105,2010,759.4000000000001
AL-105,2011,772.1
AL-105,2012,783.5999999999999
AL-105,2013,753.3
AL-105,2014,749.5
AL-105,2015,776.6999999999999
AL-105,2016,786.9
AL-105,2017,782.8
AL-105,2018,777.6
AL-105,2019,789.9000000000001
AL-105,2020,778.9000000000001
AL-107,2004,757.9999999999999
AL-107,2005,757.2
AL-107,2006,767.2
AL-107,2007,770.2000000000002
AL-107,2008,750.0000000000001
AL-107,2009,752.7
AL-107,2010,753.9000000000001
AL-107,2011,765.3
AL-107,2012,780.9
AL-107,2013,750.3
AL-107,2014,743.6999999999999
AL-107,2015,770.4
AL-107,2016,783.1999999999999
AL-107,2017,784.1
AL-107,2018,773.3
AL-107,2019,778.6999999999999
AL-107,2020,771.9999999999999
AL-109,2004,773.4
AL-109,2005,773.6
AL-109,2006,786
AL-109,2007,782.9000000000001
AL-109,2008,770.3999999999999
AL-109,2009,768.2999999999998
AL-109,2010,762.1999999999999
AL-109,2011,779.2
AL-109,2012,790.5999999999999
AL-109,2013,771.1
AL-109,2014,759.4
AL-109,2015,794.3
AL-109,2016,800.3
AL-109,2017,798.6
AL-109,2018,784.2999999999998
AL-109,2019,802.0000000000001
AL-109,2020,796.4
AL-111,2004,733.7
AL-111,2005,731.7
AL-111,2006,742.6999999999999
AL-111,2007,745.6
AL-111,2008,728.1000000000001
AL-111,2009,727.1
AL-111,2010,724.7999999999998
AL-111,2011,741.5000000000001
AL-111,2012,750.6999999999999
AL-111,2013,722.6999999999999
AL-111,2014,720
AL-111,2015,752.3000000000001
AL-111,2016,758.9
AL-111,2017,753.6
AL-111,2018,746.4
AL-111,2019,758.3
AL-111,2020,748.3000000000001
AL-113,2004,776.4999999999999
AL-113,2005,774.9
AL-113,2006,786.9
AL-113,2007,785.7
AL-113,2008,770.9
AL-113,2009,768.9
AL-113,2010,765.6999999999999
AL-113,2011,781.7
AL-113,2012,791.4
AL-113,2013,770.6999999999998
AL-113,2014,757.2
AL-113,2015,786.6
AL-113,2016,789.9
AL-113,2017,789.6999999999999
AL-113,2018,788.7
AL-113,2019,797.5
AL-113,2020,785.5999999999999
AL-115,2004,741.2
AL-115,2005,740.5
AL-115,2006,749.1999999999999
AL-115,2007,757.4000000000001
AL-115,2008,736.9
AL-115,2009,733.1
AL-115,2010,736
AL-115,2011,748.8
AL-115,2012,765.6
AL-115,2013,729.6999999999999
AL-115,2014,727.4
AL-115,2015,757.9
AL-115,2016,772.4000000000001
AL-115,2017,762.1999999999999
AL-115,2018,756.5
AL-115,2019,767.5
AL-115,2020,757.5999999999999
AL-117,2004,749.6
AL-117,2005,749.2
AL-117,2006,760
AL-117,2007,763.6999999999999
AL-117,2008,746.7
AL-117,2009,743.5
AL-117,2010,744.3999999999999
AL-117,2011,755.6
AL-117,2012,770.8000000000001
AL-117,2013,738.4
AL-117,2014,734.5000000000001
AL-117,2015,763.0999999999999
AL-117,2016,772.6999999999998
AL-117,2017,766.8
AL-117,2018,760.5
AL-117,2019,774.3
AL-117,2020,765.3
AL-119,2004,771
AL-119,2005,771.6
