county_FIPS,NAME,Percent_Uninsured,Year
0500000US22055,"Lafayette Parish, Louisiana",18.1,2010
0500000US22057,"Lafourche Parish, Louisiana",20.6,2010
0500000US22063,"Livingston Parish, Louisiana",16.8,2010
0500000US22071,"Orleans Parish, Louisiana",18.9,2010
0500000US22073,"Ouachita Parish, Louisiana",26.5,2010
0500000US22079,"Rapides Parish, Louisiana",15.9,2010
0500000US22097,"St. Landry Parish, Louisiana",15.1,2010
0500000US22103,"St. Tammany Parish, Louisiana",15.1,2010
0500000US22105,"Tangipahoa Parish, Louisiana",16.4,2010
0500000US22109,"Terrebonne Parish, Louisiana",17.0,2010
0500000US23001,"Androscoggin County, Maine",9.0,2010
0500000US23003,"Aroostook County, Maine",10.6,2010
0500000US23005,"Cumberland County, Maine",8.7,2010
0500000US23011,"Kennebec County, Maine",7.9,2010
0500000US23019,"Penobscot County, Maine",9.8,2010
0500000US23031,"York County, Maine",9.2,2010
0500000US24001,"Allegany County, Maryland",9.9,2010
0500000US24003,"Anne Arundel County, Maryland",8.5,2010
0500000US24005,"Baltimore County, Maryland",10.2,2010
0500000US24009,"Calvert County, Maryland",8.0,2010
0500000US24013,"Carroll County, Maryland",5.0,2010
0500000US24015,"Cecil County, Maryland",8.1,2010
0500000US24017,"Charles County, Maryland",9.0,2010
0500000US24021,"Frederick County, Maryland",6.7,2010
0500000US24025,"Harford County, Maryland",7.1,2010
0500000US24027,"Howard County, Maryland",8.8,2010
0500000US24031,"Montgomery County, Maryland",12.5,2010
0500000US24033,"Prince George's County, Maryland",16.1,2010
0500000US24037,"St. Mary's County, Maryland",9.6,2010
0500000US24043,"Washington County, Maryland",9.8,2010
0500000US24045,"Wicomico County, Maryland",13.2,2010
0500000US24510,"Baltimore city, Maryland",14.5,2010
0500000US25001,"Barnstable County, Massachusetts",6.1,2010
0500000US25003,"Berkshire County, Massachusetts",4.3,2010
0500000US25005,"Bristol County, Massachusetts",4.5,2010
0500000US25009,"Essex County, Massachusetts",4.7,2010
0500000US25011,"Franklin County, Massachusetts",3.6,2010
0500000US25013,"Hampden County, Massachusetts",5.5,2010
0500000US25015,"Hampshire County, Massachusetts",3.1,2010
0500000US25017,"Middlesex County, Massachusetts",3.8,2010
0500000US25021,"Norfolk County, Massachusetts",3.1,2010
0500000US25023,"Plymouth County, Massachusetts",4.1,2010
